date,ingested,validated,rules_applied,auto_decided,approved,manual_review,denied,error_void,validated_rate,rules_applied_rate,auto_decided_rate,approved_rate
2/2/2025,38285,38005,37585,36322,33925,1263,2397,251,0.9927,0.9889,0.9664,0.934
2/3/2025,36679,36444,36027,34785,32365,1242,2420,154,0.9936,0.9886,0.9655,0.9304
2/4/2025,38910,38516,38029,36295,33978,1734,2317,320,0.9899,0.9874,0.9544,0.9362
2/5/2025,41459,41105,40236,38692,35990,1544,2702,267,0.9915,0.9789,0.9616,0.9302
2/6/2025,41906,41595,41027,39608,37294,1419,2314,235,0.9926,0.9863,0.9654,0.9416
2/7/2025,41557,41327,40656,39147,36399,1509,2748,144,0.9945,0.9838,0.9629,0.9298
2/8/2025,40325,39955,39191,38223,36109,968,2114,326,0.9908,0.9809,0.9753,0.9447
2/9/2025,40050,39792,39503,38160,35472,1343,2688,235,0.9936,0.9927,0.966,0.9296
2/10/2025,38901,38559,38286,37319,34873,967,2446,207,0.9912,0.9929,0.9747,0.9345
2/11/2025,39178,38851,38518,37261,34802,1257,2459,217,0.9917,0.9914,0.9674,0.934
2/12/2025,39674,39455,38943,37667,35769,1276,1898,201,0.9945,0.987,0.9672,0.9496
2/13/2025,42703,42106,41744,40344,37990,1400,2354,473,0.986,0.9914,0.9665,0.9417
2/14/2025,43087,42575,41981,40597,38052,1384,2545,334,0.9881,0.986,0.967,0.9373
2/15/2025,41942,41420,40874,39947,37670,927,2277,350,0.9876,0.9868,0.9773,0.943
2/16/2025,40658,40048,39312,37468,34551,1844,2917,507,0.985,0.9816,0.9531,0.9221
2/17/2025,38605,38218,37744,36045,33834,1699,2211,330,0.99,0.9876,0.955,0.9387
2/18/2025,39669,39441,38898,37488,35800,1410,1688,185,0.9943,0.9862,0.9638,0.955
2/19/2025,40894,40532,39753,38445,36141,1308,2304,338,0.9911,0.9808,0.9671,0.9401
2/20/2025,43123,42804,42196,40978,38501,1218,2477,247,0.9926,0.9858,0.9711,0.9396
2/21/2025,44054,43846,43218,41914,39541,1304,2373,147,0.9953,0.9857,0.9698,0.9434
2/22/2025,40266,40104,39831,38425,36356,1406,2069,124,0.996,0.9932,0.9647,0.9462
2/23/2025,39542,39217,38808,37765,34858,1043,2907,236,0.9918,0.9896,0.9731,0.923
2/24/2025,38071,37921,37392,36389,33680,1003,2709,102,0.9961,0.986,0.9732,0.9256
2/25/2025,38385,38089,37594,36395,34236,1199,2159,182,0.9923,0.987,0.9681,0.9407
2/26/2025,40790,40361,39803,38719,36136,1084,2583,310,0.9895,0.9862,0.9728,0.9333
2/27/2025,44886,44447,43789,42416,40274,1373,2142,373,0.9902,0.9852,0.9686,0.9495
2/28/2025,42573,42043,41272,39771,37245,1501,2526,321,0.9876,0.9817,0.9636,0.9365
3/1/2025,43477,43013,42385,41164,38016,1221,3148,350,0.9893,0.9854,0.9712,0.9235
3/2/2025,38186,37839,37196,35993,33432,1203,2561,286,0.9909,0.983,0.9677,0.9288
3/3/2025,38499,38284,37557,36318,33304,1239,3014,175,0.9944,0.981,0.967,0.917
3/4/2025,39611,39499,39027,38084,35690,943,2394,98,0.9972,0.9881,0.9758,0.9371
3/5/2025,42095,41584,41067,39108,36663,1959,2445,452,0.9879,0.9876,0.9523,0.9375
3/6/2025,44224,43922,42993,41209,38555,1784,2654,256,0.9932,0.9788,0.9585,0.9356
3/7/2025,44840,44341,43698,41945,39748,1753,2197,317,0.9889,0.9855,0.9599,0.9476
3/8/2025,42158,41881,41461,40002,37945,1459,2057,212,0.9934,0.99,0.9648,0.9486
3/9/2025,39894,39559,39173,37820,35461,1353,2359,272,0.9916,0.9902,0.9655,0.9376
3/10/2025,40160,39618,39226,37577,34643,1649,2934,372,0.9865,0.9901,0.958,0.9219
3/11/2025,39413,39207,38664,37160,35077,1504,2083,127,0.9948,0.9862,0.9611,0.9439
3/12/2025,40093,39699,39009,37520,35398,1489,2122,267,0.9902,0.9826,0.9618,0.9434
3/13/2025,42248,41842,41075,40295,37937,780,2358,308,0.9904,0.9817,0.981,0.9415
3/14/2025,43018,42536,41999,41067,38884,932,2183,359,0.9888,0.9874,0.9778,0.9468
3/15/2025,43394,42962,42426,40921,38043,1505,2878,286,0.99,0.9875,0.9645,0.9297
3/16/2025,40823,40549,40190,38776,37031,1414,1745,243,0.9933,0.9911,0.9648,0.955
3/17/2025,40151,39807,39425,37852,35252,1573,2600,318,0.9914,0.9904,0.9601,0.9313
3/18/2025,39317,39041,38474,36764,34742,1710,2022,185,0.993,0.9855,0.9556,0.945
3/19/2025,42005,41715,40923,39544,36598,1379,2946,268,0.9931,0.981,0.9663,0.9255
3/20/2025,44552,44372,43694,41990,39116,1704,2874,109,0.996,0.9847,0.961,0.9316
3/21/2025,43939,43542,42970,41530,39500,1440,2030,367,0.991,0.9869,0.9665,0.9511
3/22/2025,43522,42981,42345,40541,37983,1804,2558,505,0.9876,0.9852,0.9574,0.9369
3/23/2025,40020,39828,39178,37706,35659,1472,2047,116,0.9952,0.9837,0.9624,0.9457
3/24/2025,39037,38686,38184,36958,34774,1226,2184,304,0.991,0.987,0.9679,0.9409
3/25/2025,39519,39335,38705,37513,35193,1192,2320,173,0.9953,0.984,0.9692,0.9382
3/26/2025,40528,40250,39585,38378,36456,1207,1922,255,0.9931,0.9835,0.9695,0.9499
3/27/2025,44534,44160,43597,41813,39183,1784,2630,351,0.9916,0.9873,0.9591,0.9371
3/28/2025,43890,43585,42905,41709,38571,1196,3138,242,0.9931,0.9844,0.9721,0.9248
3/29/2025,43121,43028,42468,40863,38108,1605,2755,58,0.9978,0.987,0.9622,0.9326
3/30/2025,41510,41427,40892,39698,37451,1194,2247,74,0.998,0.9871,0.9708,0.9434
3/31/2025,40118,39805,39066,37774,35589,1292,2185,255,0.9922,0.9814,0.9669,0.9422
4/1/2025,40880,40573,39927,38280,35465,1647,2815,250,0.9925,0.9841,0.9587,0.9265
4/2/2025,41948,41748,41404,39959,37290,1445,2669,149,0.9952,0.9918,0.9651,0.9332
4/3/2025,43543,43084,42281,40978,38288,1303,2690,367,0.9895,0.9814,0.9692,0.9344
4/4/2025,44453,44142,43150,41885,39208,1265,2677,203,0.993,0.9775,0.9707,0.9361
4/5/2025,41167,40834,39958,38606,35826,1352,2780,286,0.9919,0.9785,0.9662,0.928
4/6/2025,39272,38995,38454,37538,35059,916,2479,173,0.9929,0.9861,0.9762,0.934
4/7/2025,38061,37661,37138,36137,33722,1001,2415,342,0.9895,0.9861,0.973,0.9332
4/8/2025,38946,38449,37893,36584,34578,1309,2006,446,0.9872,0.9855,0.9655,0.9452
4/9/2025,42604,41998,41614,40428,38224,1186,2204,464,0.9858,0.9909,0.9715,0.9455
4/10/2025,43018,42530,41480,40592,38069,888,2523,380,0.9887,0.9753,0.9786,0.9378
4/11/2025,44143,43729,43186,42269,39558,917,2711,294,0.9906,0.9876,0.9788,0.9359
4/12/2025,44791,44393,44049,42271,39740,1778,2531,374,0.9911,0.9923,0.9596,0.9401
4/13/2025,40612,40523,39773,38239,35657,1534,2582,76,0.9978,0.9815,0.9614,0.9325
4/14/2025,40558,40368,39742,38785,36063,957,2722,139,0.9953,0.9845,0.9759,0.9298
4/15/2025,39041,38616,37959,36465,33966,1494,2499,281,0.9891,0.983,0.9606,0.9315
4/16/2025,41890,41599,40868,39195,36605,1673,2590,197,0.9931,0.9824,0.9591,0.9339
4/17/2025,42971,42575,41923,40417,37575,1506,2842,302,0.9908,0.9847,0.9641,0.9297
4/18/2025,44190,43799,43436,42112,39598,1324,2514,364,0.9912,0.9917,0.9695,0.9403
4/19/2025,44234,43905,43613,42147,39822,1466,2325,282,0.9926,0.9933,0.9664,0.9448
4/20/2025,38955,38716,38122,36715,34009,1407,2706,161,0.9939,0.9847,0.9631,0.9263
4/21/2025,40176,39814,39560,38094,35778,1466,2316,326,0.991,0.9936,0.9629,0.9392
4/22/2025,40422,40228,39671,38192,35795,1479,2397,142,0.9952,0.9862,0.9627,0.9372
4/23/2025,41392,40919,40633,39078,36801,1555,2277,425,0.9886,0.993,0.9617,0.9417
4/24/2025,42336,41998,41394,40595,38115,799,2480,231,0.992,0.9856,0.9807,0.9389
4/25/2025,44636,44547,43947,42575,39483,1372,3092,73,0.998,0.9865,0.9688,0.9274
4/26/2025,42538,42226,41697,40543,37660,1154,2883,288,0.9927,0.9875,0.9723,0.9289
4/27/2025,41252,41099,40894,39424,37028,1470,2396,106,0.9963,0.995,0.9641,0.9392
4/28/2025,39622,39316,38899,37572,35589,1327,1983,258,0.9923,0.9894,0.9659,0.9472
4/29/2025,41993,41730,41028,39498,36389,1530,3109,249,0.9937,0.9832,0.9627,0.9213
4/30/2025,41743,41402,40983,38979,36709,2004,2270,223,0.9918,0.9899,0.9511,0.9418
5/1/2025,42759,42395,41740,40017,37957,1723,2060,230,0.9915,0.9846,0.9587,0.9485
5/2/2025,44673,44211,43505,41597,39009,1908,2588,386,0.9897,0.984,0.9561,0.9378
5/3/2025,43343,43052,42606,40625,38326,1981,2299,209,0.9933,0.9896,0.9535,0.9434
5/4/2025,42507,42058,41474,39808,37156,1666,2652,281,0.9894,0.9861,0.9598,0.9334
5/5/2025,40500,40257,39738,38743,36343,995,2400,186,0.994,0.9871,0.975,0.9381
5/6/2025,40395,40203,39642,38323,35488,1319,2835,166,0.9952,0.986,0.9667,0.926
5/7/2025,43670,43369,42820,41739,38410,1081,3329,211,0.9931,0.9873,0.9748,0.9202
5/8/2025,42433,42057,41540,40272,38119,1268,2153,270,0.9911,0.9877,0.9695,0.9465
5/9/2025,43556,43267,42326,41128,38295,1198,2833,259,0.9934,0.9783,0.9717,0.9311
5/10/2025,41831,41458,40988,39414,36866,1574,2548,292,0.9911,0.9887,0.9616,0.9354
5/11/2025,40274,40065,39347,38172,35420,1175,2752,187,0.9948,0.9821,0.9701,0.9279
5/12/2025,37710,37201,36466,35422,32862,1044,2560,385,0.9865,0.9802,0.9714,0.9277
5/13/2025,40587,40221,39649,38203,35819,1446,2384,342,0.991,0.9858,0.9635,0.9376
5/14/2025,41494,40914,40355,39159,36542,1196,2617,480,0.986,0.9863,0.9704,0.9332
5/15/2025,41928,41405,40710,39505,37215,1205,2290,335,0.9875,0.9832,0.9704,0.942
5/16/2025,42931,42763,42306,40770,38431,1536,2339,153,0.9961,0.9893,0.9637,0.9426
5/17/2025,43144,42915,42084,40412,38051,1672,2361,177,0.9947,0.9806,0.9603,0.9416
5/18/2025,41577,41155,40512,38887,36589,1625,2298,274,0.9899,0.9844,0.9599,0.9409
5/19/2025,41589,41069,40398,39086,37195,1312,1891,340,0.9875,0.9837,0.9675,0.9516
5/20/2025,43145,42416,41814,40516,37698,1298,2818,613,0.9831,0.9858,0.969,0.9304
5/21/2025,42068,41663,41126,39573,37142,1553,2431,250,0.9904,0.9871,0.9622,0.9386
5/22/2025,42302,42217,41456,40095,38013,1361,2082,60,0.998,0.982,0.9672,0.9481
5/23/2025,41380,41103,40647,39445,37438,1202,2007,180,0.9933,0.9889,0.9704,0.9491
5/24/2025,42880,42465,41881,40654,37712,1227,2942,313,0.9903,0.9862,0.9707,0.9276
5/25/2025,39393,39133,38289,37382,35008,907,2374,194,0.9934,0.9784,0.9763,0.9365
5/26/2025,38494,38006,37176,36234,34417,942,1817,382,0.9873,0.9782,0.9747,0.9499
5/27/2025,38707,38363,37824,36349,34279,1475,2070,240,0.9911,0.986,0.961,0.9431
5/28/2025,41180,40863,40255,39333,36995,922,2338,194,0.9923,0.9851,0.9771,0.9406
5/29/2025,44533,44165,43528,41953,39321,1575,2632,300,0.9917,0.9856,0.9638,0.9373
5/30/2025,43884,43637,43021,41871,39188,1150,2683,181,0.9944,0.9859,0.9733,0.9359
5/31/2025,42129,41836,41288,39942,37598,1346,2344,243,0.993,0.9869,0.9674,0.9413
6/1/2025,38895,38662,38267,36910,34584,1357,2326,149,0.994,0.9898,0.9645,0.937
6/2/2025,36756,36386,35715,34149,32054,1566,2095,224,0.9899,0.9816,0.9562,0.9387
6/3/2025,38624,38419,37701,36418,34219,1283,2199,141,0.9947,0.9813,0.966,0.9396
6/4/2025,41036,40908,40156,38455,35901,1701,2554,97,0.9969,0.9816,0.9576,0.9336
6/5/2025,45111,44619,44046,42848,40417,1198,2431,363,0.9891,0.9872,0.9728,0.9433
6/6/2025,43581,43116,42727,41706,39829,1021,1877,411,0.9893,0.991,0.9761,0.955
6/7/2025,43233,43060,42383,40782,37715,1601,3067,127,0.996,0.9843,0.9622,0.9248
6/8/2025,39283,38946,38011,36826,34675,1185,2151,265,0.9914,0.976,0.9688,0.9416
6/9/2025,37094,36953,36184,34832,32495,1352,2337,114,0.9962,0.9792,0.9626,0.9329
6/10/2025,37794,37441,36792,35439,33441,1353,1998,214,0.9907,0.9827,0.9632,0.9436
6/11/2025,39959,39814,39168,38057,35750,1111,2307,113,0.9964,0.9838,0.9716,0.9394
6/12/2025,45256,44912,44210,42741,40394,1469,2347,248,0.9924,0.9844,0.9668,0.9451
6/13/2025,42146,41841,41262,40331,38250,931,2081,228,0.9928,0.9862,0.9774,0.9484
6/14/2025,42773,42632,41982,40475,38068,1507,2407,90,0.9967,0.9848,0.9641,0.9405
6/15/2025,38523,38173,37799,36778,34868,1021,1910,306,0.9909,0.9902,0.973,0.9481
6/16/2025,39365,38939,38289,37048,34093,1241,2955,396,0.9892,0.9833,0.9676,0.9202
6/17/2025,39140,38774,38097,37022,35235,1075,1787,222,0.9906,0.9825,0.9718,0.9517
6/18/2025,40351,40083,39599,38186,35971,1413,2215,217,0.9934,0.9879,0.9643,0.942
6/19/2025,42348,41810,40968,39604,37530,1364,2074,467,0.9873,0.9799,0.9667,0.9476
6/20/2025,42035,41779,41259,39869,37048,1390,2821,179,0.9939,0.9876,0.9663,0.9292
6/21/2025,41998,41594,41029,39469,36799,1560,2670,354,0.9904,0.9864,0.962,0.9324
6/22/2025,38771,38594,38031,36927,34718,1104,2209,145,0.9954,0.9854,0.971,0.9402
6/23/2025,36495,35941,35666,34628,32511,1038,2117,513,0.9848,0.9923,0.9709,0.9389
6/24/2025,36858,36476,35875,34819,32774,1056,2045,360,0.9896,0.9835,0.9706,0.9413
6/25/2025,40444,39916,39686,38742,36715,944,2027,325,0.9869,0.9942,0.9762,0.9477
6/26/2025,43974,43513,42865,41823,38681,1042,3142,348,0.9895,0.9851,0.9757,0.9249
6/27/2025,42690,42380,41570,40105,37971,1465,2134,245,0.9927,0.9809,0.9648,0.9468
6/28/2025,41007,40657,40099,38865,36497,1234,2368,228,0.9915,0.9863,0.9692,0.9391
6/29/2025,39361,39016,38302,36895,34584,1407,2311,248,0.9912,0.9817,0.9633,0.9374
6/30/2025,39243,38910,38248,36991,34299,1257,2692,315,0.9915,0.983,0.9671,0.9272
7/1/2025,38360,38077,37604,36228,34164,1376,2064,171,0.9926,0.9876,0.9634,0.943
7/2/2025,39434,38999,38540,37643,34620,897,3023,330,0.989,0.9882,0.9767,0.9197
7/3/2025,43081,42828,42122,40824,38545,1298,2279,226,0.9941,0.9835,0.9692,0.9442
7/4/2025,42683,42426,42000,40559,37601,1441,2958,183,0.994,0.99,0.9657,0.9271
7/5/2025,42673,42381,41984,40899,38422,1085,2477,224,0.9932,0.9906,0.9742,0.9394
7/6/2025,38934,38688,38369,36603,34335,1766,2268,232,0.9937,0.9918,0.954,0.938
7/7/2025,35913,35658,35234,33645,31907,1589,1738,195,0.9929,0.9881,0.9549,0.9483
7/8/2025,36158,36086,35778,34768,32597,1010,2171,46,0.998,0.9915,0.9718,0.9376
7/9/2025,41597,41253,40365,39048,36449,1317,2599,213,0.9917,0.9785,0.9674,0.9334
7/10/2025,43496,43108,42450,41113,38438,1337,2675,361,0.9911,0.9847,0.9685,0.9349
7/11/2025,41624,41197,40477,38819,36846,1658,1973,296,0.9897,0.9825,0.959,0.9492
7/12/2025,40051,39607,39071,37776,35634,1295,2142,345,0.9889,0.9865,0.9669,0.9433
7/13/2025,40166,39695,39049,38230,35780,819,2450,298,0.9883,0.9837,0.979,0.9359
7/14/2025,35763,35382,34863,33885,31754,978,2131,285,0.9893,0.9853,0.9719,0.9371
7/15/2025,36432,36133,35899,34751,32196,1148,2555,277,0.9918,0.9935,0.968,0.9265
7/16/2025,40080,39800,39216,37819,35630,1397,2189,217,0.993,0.9853,0.9644,0.9421
7/17/2025,40633,40314,39816,38408,35524,1408,2884,300,0.9921,0.9876,0.9646,0.9249
7/18/2025,41510,41083,40470,38617,36494,1853,2123,295,0.9897,0.9851,0.9542,0.945
7/19/2025,40003,39791,39246,38012,35732,1234,2280,165,0.9947,0.9863,0.9686,0.94
7/20/2025,38523,38300,37765,36710,35058,1055,1652,201,0.9942,0.986,0.9721,0.955
7/21/2025,38496,38170,37704,36103,33583,1601,2520,247,0.9915,0.9878,0.9575,0.9302
7/22/2025,37329,36957,36612,35259,33079,1353,2180,260,0.99,0.9907,0.963,0.9382
7/23/2025,39783,39530,39237,37670,35914,1567,1756,228,0.9936,0.9926,0.9601,0.9534
7/24/2025,38336,38051,37565,36108,34250,1457,1858,210,0.9926,0.9872,0.9612,0.9485
7/25/2025,41146,40638,40165,38852,36266,1313,2586,399,0.9877,0.9884,0.9673,0.9334
7/26/2025,38887,38568,37851,36129,33990,1722,2139,300,0.9918,0.9814,0.9545,0.9408
7/27/2025,36372,36110,35592,34549,32442,1043,2107,174,0.9928,0.9857,0.9707,0.939
7/28/2025,35482,35102,34743,33754,31771,989,1983,268,0.9893,0.9898,0.9715,0.9413
7/29/2025,36546,36274,35892,34653,32345,1239,2308,166,0.9926,0.9895,0.9655,0.9334
7/30/2025,39825,39333,38816,36957,34676,1859,2281,363,0.9876,0.9869,0.9521,0.9383
7/31/2025,38911,38756,38351,36856,34137,1495,2719,104,0.996,0.9896,0.961,0.9262
8/1/2025,40946,40772,40281,39250,36898,1031,2352,146,0.9958,0.988,0.9744,0.9401
8/2/2025,39035,38693,38337,36433,34342,1904,2091,227,0.9912,0.9908,0.9503,0.9426
8/3/2025,37176,36919,36445,35166,32957,1279,2209,215,0.9931,0.9872,0.9649,0.9372
8/4/2025,37485,36914,36345,34888,32309,1457,2579,395,0.9848,0.9846,0.9599,0.9261
8/5/2025,37339,36911,36444,35417,33537,1027,1880,310,0.9885,0.9873,0.9718,0.9469
8/6/2025,40068,39712,38691,37257,35093,1434,2164,257,0.9911,0.9743,0.9629,0.9419
8/7/2025,40044,39595,39101,37905,35373,1196,2532,382,0.9888,0.9875,0.9694,0.9332
8/8/2025,39803,39570,38462,37323,34963,1139,2360,178,0.9941,0.972,0.9704,0.9368
8/9/2025,39087,39009,38194,37354,34627,840,2727,57,0.998,0.9791,0.978,0.927
8/10/2025,37616,37182,36729,35472,33017,1257,2455,390,0.9885,0.9878,0.9658,0.9308
8/11/2025,36262,35881,35447,34357,32113,1090,2244,305,0.9895,0.9879,0.9692,0.9347
8/12/2025,35161,34905,34254,32818,31139,1436,1679,173,0.9927,0.9813,0.9581,0.9488
8/13/2025,38333,38212,37568,36597,34177,971,2420,111,0.9968,0.9831,0.9742,0.9339
8/14/2025,40258,39788,39449,37967,35845,1482,2122,338,0.9883,0.9915,0.9624,0.9441
8/15/2025,43415,43100,42413,40871,38202,1542,2669,193,0.9927,0.9841,0.9636,0.9347
8/16/2025,41376,41271,41063,39702,37359,1361,2343,81,0.9975,0.995,0.9669,0.941
8/17/2025,36085,35618,35119,33631,31541,1488,2090,300,0.9871,0.986,0.9576,0.9379
8/18/2025,35500,35080,34646,33550,31738,1096,1812,287,0.9882,0.9876,0.9684,0.946
8/19/2025,34502,34182,33925,33002,30848,923,2154,276,0.9907,0.9925,0.9728,0.9347
8/20/2025,37306,36949,36451,35312,32714,1139,2598,231,0.9904,0.9865,0.9688,0.9264
8/21/2025,40149,39926,39207,37539,34834,1668,2705,197,0.9944,0.982,0.9575,0.9279
8/22/2025,41629,41326,40729,39355,36787,1374,2568,281,0.9927,0.9856,0.9663,0.9347
8/23/2025,38048,37541,37010,35953,33401,1057,2552,412,0.9867,0.9859,0.9714,0.929
8/24/2025,36139,35906,35207,33648,31706,1559,1942,198,0.9936,0.9805,0.9557,0.9423
8/25/2025,33093,32771,32279,31006,28999,1273,2007,274,0.9903,0.985,0.9606,0.9353
8/26/2025,35892,35742,35136,34161,32624,975,1537,142,0.9958,0.983,0.9723,0.955
8/27/2025,36565,36204,35831,34707,32107,1124,2600,260,0.9901,0.9897,0.9686,0.9251
8/28/2025,38957,38571,38036,36875,34686,1161,2189,254,0.9901,0.9861,0.9695,0.9406
8/29/2025,38955,38707,38121,37288,34677,833,2611,194,0.9936,0.9849,0.9781,0.93
8/30/2025,38647,38426,37872,36729,34344,1143,2385,174,0.9943,0.9856,0.9698,0.9351
8/31/2025,34664,34433,33982,32995,31020,987,1975,153,0.9933,0.9869,0.971,0.9401
9/1/2025,33770,33329,32945,32319,29746,626,2573,359,0.9869,0.9885,0.981,0.9204
9/2/2025,38505,38259,37570,36282,34138,1288,2144,149,0.9936,0.982,0.9657,0.9409
9/3/2025,36157,35756,35106,33779,32233,1327,1546,371,0.9889,0.9818,0.9622,0.9542
9/4/2025,38138,37860,37497,36356,34006,1141,2350,193,0.9927,0.9904,0.9696,0.9354
9/5/2025,42078,41562,40912,39670,37333,1242,2337,317,0.9877,0.9844,0.9696,0.9411
9/6/2025,42122,41841,41018,39535,37448,1483,2087,179,0.9933,0.9803,0.9638,0.9472
9/7/2025,35256,34889,34462,33111,31048,1351,2063,251,0.9896,0.9878,0.9608,0.9377
9/8/2025,34986,34571,34151,33497,31298,654,2199,289,0.9881,0.9879,0.9808,0.9344
9/9/2025,36262,36050,35325,34229,31518,1096,2711,130,0.9942,0.9799,0.969,0.9208
9/10/2025,39680,39391,38876,37422,35331,1454,2091,202,0.9927,0.9869,0.9626,0.9441
9/11/2025,38174,37798,37380,36352,34102,1028,2250,251,0.9902,0.9889,0.9725,0.9381
9/12/2025,39490,39346,38854,37546,34952,1308,2594,105,0.9964,0.9875,0.9663,0.9309
9/13/2025,39488,39120,38671,37336,35096,1335,2240,270,0.9907,0.9885,0.9655,0.94
9/14/2025,37113,36820,36098,35029,32729,1069,2300,211,0.9921,0.9804,0.9704,0.9343
9/15/2025,34914,34663,34224,32829,30688,1395,2141,179,0.9928,0.9873,0.9592,0.9348
9/16/2025,35634,35283,34746,33673,31782,1073,1891,222,0.9901,0.9848,0.9691,0.9438
9/17/2025,35902,35666,35098,34343,31880,755,2463,144,0.9934,0.9841,0.9785,0.9283
9/18/2025,39024,38649,38242,37087,35135,1155,1952,252,0.9904,0.9895,0.9698,0.9474
9/19/2025,39421,39057,38741,37375,34677,1366,2698,315,0.9908,0.9919,0.9647,0.9278
9/20/2025,38799,38647,38383,37000,34547,1383,2453,144,0.9961,0.9932,0.964,0.9337
9/21/2025,35898,35499,35189,33941,32393,1248,1548,369,0.9889,0.9913,0.9645,0.9544
9/22/2025,35911,35364,34853,33650,31901,1203,1749,425,0.9848,0.9856,0.9655,0.948
9/23/2025,36996,36879,36415,35131,33015,1284,2116,92,0.9968,0.9874,0.9647,0.9398
9/24/2025,37730,37655,37243,36219,33737,1024,2482,53,0.998,0.9891,0.9725,0.9315
9/25/2025,39730,39364,38832,37147,34724,1685,2423,319,0.9908,0.9865,0.9566,0.9348
9/26/2025,39810,39260,38731,37653,35378,1078,2275,477,0.9862,0.9865,0.9722,0.9396
9/27/2025,38532,38188,37779,36446,34234,1333,2212,308,0.9911,0.9893,0.9647,0.9393
9/28/2025,35716,35400,34896,33823,31735,1073,2088,289,0.9912,0.9858,0.9693,0.9383
9/29/2025,35749,35443,34843,33458,31409,1385,2049,230,0.9914,0.9831,0.9603,0.9388
9/30/2025,35695,35290,34737,33868,31744,869,2124,352,0.9887,0.9843,0.975,0.9373
10/1/2025,40094,39843,39386,38381,35597,1005,2784,221,0.9937,0.9885,0.9745,0.9275
10/2/2025,41243,40978,40405,39304,36744,1101,2560,188,0.9936,0.986,0.9728,0.9349
10/3/2025,40265,39762,39259,37607,35588,1652,2019,465,0.9875,0.9873,0.9579,0.9463
10/4/2025,37677,37455,37031,35993,33403,1038,2590,141,0.9941,0.9887,0.972,0.928
10/5/2025,35311,35240,34694,33633,31530,1061,2103,67,0.998,0.9845,0.9694,0.9375
10/6/2025,36866,36590,36188,34645,32304,1543,2341,240,0.9925,0.989,0.9574,0.9324
10/7/2025,36202,35876,35428,34254,32195,1174,2059,206,0.991,0.9875,0.9669,0.9399
